run_id,date,backbone,img_size,epochs,batch_size,learning_rate,dropout,class_weights,val_accuracy,macro_f1,bin_lifting_recall,primary_collection_recall,lfc_recall,checkpoint,notes,accuracy
run_01_baseline,2026-07-21,efficientnetb0,,20.0,,,,False,,91.51,96.0,87.5,55.0,,Baseline EfficientNetB0 without class weighting,94.29
run_02_weighted,2026-07-21,efficientnetb0,,20.0,,,,True,,92.8,100.0,93.75,80.0,,EfficientNetB0 with class weighting,94.48
run_03_mobilenet,2026-07-21,mobilenetv2,,20.0,,,,True,,91.09,92.0,87.5,70.0,,Lightweight MobileNetV2 with class weighting,93.55
run_04_finetuned,2026-07-22,efficientnetb0,224.0,20.0,,,0.3,True,95.03,93.31,100.0,93.75,80.0,runs/run_04_finetuned/best.weights.h5,EfficientNetB0 fine-tuned model; best overall accuracy and macro F1 among completed runs,95.03
